"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times1933","+low",100,0.48,0.11,0.41,0.511089108910891,0.105742574257426,0.383168316831683,0.29,"148.173632889435",1.02461609148702
"event.times1934","full",100,0.17,0.38,0.45,0.151188118811881,0.336732673267327,0.512079207920792,0.47,"85.8145566671528",1.45484907098361
"event.times1935","low.var",100,0.28,0.18,0.54,0.232079207920792,0.22960396039604,0.538316831683168,0.47,"90.1886141100805",1.17138589295456
"event.times1936","+high",100,0,0.47,0.53,0,0.383465346534653,0.616534653465347,0.67,"69.9166235423971",1.04538802289357
"event.times1937","+low",100,0.78,0,0.22,0.743168316831683,0,0.256831683168317,0.01,"0",0.780804627382857
"event.times1938","full",100,0.17,0.36,0.47,0.154059405940594,0.371089108910891,0.474851485148515,0.44,"86.7219085700576",0.696501706068403
"event.times1939","low.var",100,0.27,0.29,0.44,0.324752475247525,0.24950495049505,0.425742574257426,0.49,"133.5861217984",1.21233227625171
"event.times1940","+high",100,0.88,0,0.12,0.843564356435644,0,0.156435643564356,0.01,"0",1.47760266857319
"event.times1941","+low",100,0.37,0.21,0.42,0.36039603960396,0.231485148514851,0.408118811881188,0.29,"176.219434294352",0.648219223258047
"event.times1942","full",100,0,0.3,0.7,0,0.298811881188119,0.701188118811881,0.54,"61.262611818399",0.72214740854122
"event.times1943","low.var",100,0.31,0.29,0.4,0.294158415841584,0.250594059405941,0.455247524752475,0.5,"87.6696025039949",0.917322899411071
"event.times1944","+high",100,0,0.38,0.62,0,0.300792079207921,0.699207920792079,0.62,"75.6718289656909",1.36416129578267
"event.times1945","+low",100,0.31,0.14,0.55,0.345148514851485,0.139009900990099,0.515841584158416,0.3,"125.711572218691",0.289074927882853
"event.times1946","full",100,0.85,0,0.15,0.859306930693069,0,0.140693069306931,0.01,"0",0.292889196362505
"event.times1947","low.var",100,0.15,0.33,0.52,0.0972277227722772,0.321089108910891,0.581683168316832,0.48,"119.752068167596",0.873910823735214
"event.times1948","+high",100,0,0.44,0.56,0,0.472475247524752,0.527524752475248,0.58,"122.368842221899",0.820858828753763
"event.times1949","+low",100,0.22,0.26,0.52,0.198910891089109,0.184950495049505,0.616138613861386,0.31,"95.0258827408967",0.780312778416255
"event.times1950","full",100,0.12,0.26,0.62,0.154554455445545,0.295742574257426,0.54970297029703,0.45,"133.955408922756",1.23261080724786
"event.times1951","low.var",100,0.3,0.29,0.41,0.303960396039604,0.229306930693069,0.466732673267327,0.42,"118.392487492199",1.01459451254167
"event.times1952","+high",100,0,0.56,0.44,0,0.511089108910891,0.488910891089109,0.6,"37.2446229277338",1.72437892077716
"event.times1953","+low",100,0.3,0.26,0.44,0.35049504950495,0.208910891089109,0.440594059405941,0.27,"212.94477833864",0.416631143286589
"event.times1954","full",100,0.32,0.27,0.41,0.303762376237624,0.232772277227723,0.463465346534653,0.46,"67.8460016350769",1.75288451854873
"event.times1955","low.var",100,0.16,0.24,0.6,0.136336633663366,0.312772277227723,0.550891089108911,0.45,"139.543651699911",0.864765752116208
"event.times1956","+high",100,0,0.29,0.71,0,0.326633663366337,0.673366336633663,0.57,"81.7575060768275",0.897066451152491
"event.times1957","+low",100,0.8,0,0.2,0.776633663366337,0,0.223366336633663,0.01,"0",0.686508531229876
"event.times1958","full",100,0.34,0.27,0.39,0.321683168316832,0.220990099009901,0.457326732673267,0.41,"140.37222357517",1.04759402886859
"event.times1959","low.var",100,0.26,0.29,0.45,0.306930693069307,0.221584158415842,0.471485148514851,0.53,"79.8302526528807",0.913418784800225
"event.times1960","+high",100,0.12,0.46,0.42,0.125841584158416,0.527722772277228,0.346435643564356,0.58,"120.248073255885",1.58223897926488
"event.times1961","+low",100,0.37,0.17,0.46,0.391089108910891,0.104851485148515,0.504059405940594,0.31,"39.9315648055753",0.650520896401126
"event.times1962","full",100,0.33,0.28,0.39,0.332772277227723,0.215247524752475,0.451980198019802,0.46,"119.458165678142",1.46834192082994
"event.times1963","low.var",100,0.31,0.26,0.43,0.320792079207921,0.298514851485149,0.380693069306931,0.38,"86.0456164391907",1.22248702364534
"event.times1964","+high",100,0,0.37,0.63,0,0.399306930693069,0.600693069306931,0.57,"60.3913238428085",1.69611657541981
"event.times1965","+low",100,0.58,0.06,0.36,0.563663366336634,0.0835643564356436,0.352772277227723,0.31,"85.4021965222943",0.724639757141592
"event.times1966","full",100,0.83,0,0.17,0.805841584158416,0,0.194158415841584,0.01,"0",0.718972131933471
"event.times1967","low.var",100,0.25,0.35,0.4,0.25049504950495,0.288712871287129,0.460792079207921,0.44,"122.273705311208",0.85930612066781
"event.times1968","+high",100,0,0.28,0.72,0,0.314059405940594,0.685940594059406,0.62,"105.82572248554",1.3259469668877
"event.times1969","+low",100,0.31,0.16,0.53,0.258712871287129,0.188811881188119,0.552475247524753,0.32,"113.94066861994",0.773035036592768
