"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times2181","+low",120,0.34,0,0.66,0.392475247524752,0,0.607524752475248,0.01,"0",0.602535051339594
"event.times2182","full",120,0.41,0.16,0.43,0.453564356435644,0.163861386138614,0.382574257425743,0.23,"166.701342331147",1.21316831937724
"event.times2183","low.var",120,0.26,0.14,0.6,0.21049504950495,0.183267326732673,0.606237623762376,0.35,"228.769710507817",1.23169524673055
"event.times2184","+high",120,0,0,1,0,0.111485148514851,0.888514851485149,0.46,"115.310239357149",1.40990137602465
"event.times2185","+low",120,0.52,0,0.48,0.52950495049505,0,0.47049504950495,0.01,"0",1.08094917428044
"event.times2186","full",120,0.27,0.15,0.58,0.286138613861386,0.162574257425743,0.551287128712871,0.31,"241.954976189076",0.675553545834701
"event.times2187","low.var",120,0.28,0.23,0.49,0.325148514851485,0.217623762376238,0.457227722772277,0.3,"96.8357127158271",1.05723882658804
"event.times2188","+high",120,0.07,0.3,0.63,0.0607920792079208,0.298712871287129,0.640495049504951,0.48,"135.637324664995",0.776563065978853
"event.times2189","+low",120,0.27,0.05,0.68,0.214653465346535,0.039009900990099,0.746336633663366,0.15,"175.412698430265",1.03589887097086
"event.times2190","full",120,0.15,0.19,0.66,0.162772277227723,0.156534653465347,0.680693069306931,0.3,"136.583390864449",0.997168794114311
"event.times2191","low.var",120,0.32,0.11,0.57,0.316039603960396,0.152871287128713,0.531089108910891,0.26,"210.430180699256",1.16892946559229
"event.times2192","+high",120,0,0,1,0.0213861386138614,0.0508910891089109,0.927722772277228,0.49,"142.649138147357",1.6368670237642
"event.times2193","+low",120,0.33,0.08,0.59,0.304158415841584,0.0567326732673267,0.639108910891089,0.12,"330.638724908",1.23468985020267
"event.times2194","full",120,0.4,0.15,0.45,0.400693069306931,0.0979207920792079,0.501386138613861,0.23,"225.517660101047",1.5009920745757
"event.times2195","low.var",120,0.31,0.21,0.48,0.377920792079208,0.166633663366337,0.455445544554455,0.27,"212.481087643408",0.837630677733009
"event.times2196","+high",120,0.14,0.3,0.56,0.155148514851485,0.337227722772277,0.507623762376238,0.45,"79.302748651589",1.4186208860755
"event.times2197","+low",120,0.6,0,0.4,0.617227722772277,0,0.382772277227723,0.01,"0",0.791266524855078
"event.times2198","full",120,0.23,0.06,0.71,0.213762376237624,0.0930693069306931,0.693168316831683,0.23,"150.852285833831",1.36243455587464
"event.times2199","low.var",120,0.41,0.19,0.4,0.448613861386139,0.134356435643564,0.417029702970297,0.22,"153.378485585652",1.0062157826927
"event.times2200","+high",120,0,0.28,0.72,0,0.26019801980198,0.73980198019802,0.48,"162.975112479376",1.29183737065226
"event.times2201","+low",120,0.67,0,0.33,0.596138613861386,0,0.403861386138614,0.05,"117.591561289588",1.19434183829033
"event.times2202","full",120,0.19,0.25,0.56,0.229306930693069,0.242574257425743,0.528118811881188,0.28,"128.391447293211",1.44254575608443
"event.times2203","low.var",120,0.08,0.18,0.74,0.131782178217822,0.171188118811881,0.697029702970297,0.29,"209.741126520305",1.10190429061906
"event.times2204","+high",120,0,0,1,0,0.111287128712871,0.888712871287129,0.6,"88.9754601615165",1.52280015457222
"event.times2205","+low",120,0.59,0,0.41,0.538118811881188,0,0.461881188118812,0.01,"0",0.960895970027469
"event.times2206","full",120,0.27,0.16,0.57,0.196237623762376,0.148613861386139,0.655148514851485,0.25,"207.479152637815",0.864965197203249
"event.times2207","low.var",120,0.36,0.18,0.46,0.365643564356436,0.166534653465347,0.467821782178218,0.28,"223.555445328012",0.832472272868795
"event.times2208","+high",120,0,0.16,0.84,0,0.184752475247525,0.815247524752475,0.47,"116.621928529624",0.88962920606597
"event.times2209","+low",120,0.34,0.03,0.63,0.330495049504951,0.0547524752475248,0.614752475247525,0.17,"267.495604922655",1.19810968746191
"event.times2210","full",120,0.38,0.23,0.39,0.370792079207921,0.196930693069307,0.432277227722772,0.27,"205.809467199861",0.286674832532589
"event.times2211","low.var",120,0.26,0.15,0.59,0.26009900990099,0.134653465346535,0.605247524752475,0.32,"205.38316374354",1.19086371521293
"event.times2212","+high",120,0,0.38,0.62,0,0.346138613861386,0.653861386138614,0.56,"91.1665655878071",1.57474375660047
"event.times2213","+low",120,0.33,0,0.67,0.463267326732673,0,0.536732673267327,0.01,"0",0.526984597966286
"event.times2214","full",120,0.5,0.04,0.46,0.435841584158416,0.0726732673267327,0.491485148514851,0.17,"221.29967973469",1.34410155791665
"event.times2215","low.var",120,0.23,0.1,0.67,0.221584158415842,0.141881188118812,0.636534653465347,0.23,"221.437338654787",0.944246978891151
"event.times2216","+high",120,0,0,1,0,0.112277227722772,0.887722772277228,0.46,"95.0407941954372",1.09282790455682
"event.times2217","+low",120,0.61,0,0.39,0.625049504950495,0,0.374950495049505,0.03,"17.2797703969145",0.627489557463587
"event.times2218","full",120,0.37,0.16,0.47,0.32970297029703,0.174554455445545,0.495742574257426,0.3,"169.128485070527",1.41254170940232
"event.times2219","low.var",120,0.31,0.18,0.51,0.326930693069307,0.165643564356436,0.507425742574257,0.27,"131.623953099467",0.782600397827038
"event.times2220","+high",120,0,0.14,0.86,0,0.110891089108911,0.889108910891089,0.54,"149.665410693446",1.42631951048526
"event.times2221","+low",120,0.55,0,0.45,0.544851485148515,0,0.455148514851485,0.01,"0",1.14590486207006
"event.times2222","full",120,0.25,0.19,0.56,0.260891089108911,0.132673267326733,0.606435643564356,0.3,"180.856194320132",0.909849932356219
"event.times2223","low.var",120,0.17,0.17,0.66,0.225841584158416,0.121287128712871,0.652871287128713,0.32,"209.581053799207",1.18638961200477
"event.times2224","+high",120,0,0.2,0.8,0,0.236435643564356,0.763564356435644,0.53,"180.750673071416",1.1627366195935
"event.times2225","+low",120,0.47,0,0.53,0.436138613861386,0,0.563861386138614,0.01,"0",0.839532336209729
"event.times2226","full",120,0.27,0.13,0.6,0.261980198019802,0.141584158415842,0.596435643564356,0.29,"140.808324270686",0.619116862112822
"event.times2227","low.var",120,0.13,0.22,0.65,0.160891089108911,0.225643564356436,0.613465346534653,0.33,"217.437762019175",1.22296387229063
"event.times2228","+high",120,0,0.27,0.73,0,0.272376237623762,0.727623762376238,0.48,"121.141049321959",1.51245515323597
"event.times2229","+low",120,0.5,0,0.5,0.502376237623762,0,0.497623762376238,0.01,"0",0.225499435125422
"event.times2230","full",120,0.3,0.17,0.53,0.301584158415842,0.142376237623762,0.556039603960396,0.29,"209.358189431586",0.97556724224555
"event.times2231","low.var",120,0.38,0.08,0.54,0.383366336633663,0.166336633663366,0.45029702970297,0.27,"141.361527625632",0.966871425869642
"event.times2232","+high",120,0,0,1,0,0.104554455445545,0.895445544554455,0.47,"160.448149842163",1.48046867345609
"event.times2233","+low",120,0.49,0,0.51,0.485643564356436,0.0120792079207921,0.502277227722772,0.09,"280.344106326444",1.08683715507285
"event.times2234","full",120,0.41,0.2,0.39,0.441386138613861,0.137227722772277,0.421386138613861,0.34,"167.336537266253",1.39846235571251
"event.times2235","low.var",120,0.44,0.12,0.44,0.37019801980198,0.134059405940594,0.495742574257426,0.27,"189.983643053272",0.920165830130567
"event.times2236","+high",120,0.09,0.26,0.65,0.0963366336633663,0.29049504950495,0.613168316831683,0.45,"203.192345685759",1.15825735901619
"event.times2237","+low",120,0.54,0,0.46,0.523366336633663,0,0.476633663366337,0.02,"6.74847292925944",0.74945078562626
"event.times2238","full",120,0.33,0.14,0.53,0.266138613861386,0.20019801980198,0.533663366336634,0.28,"219.639448980019",1.16856866178906
"event.times2239","low.var",120,0.29,0.14,0.57,0.252178217821782,0.138217821782178,0.60960396039604,0.29,"166.275058041149",1.11845909321009
"event.times2240","+high",120,0.22,0.3,0.48,0.21990099009901,0.263366336633663,0.516732673267327,0.36,"150.256311434282",1.05627451773485
"event.times2241","+low",120,0.65,0,0.35,0.59039603960396,0,0.40960396039604,0.05,"32.6322700457877",1.19540594279055
"event.times2242","full",120,0.7,0,0.3,0.73029702970297,0,0.26970297029703,0.03,"52.8508547619962",0.418357915249532
"event.times2243","low.var",120,0.31,0.23,0.46,0.347722772277228,0.175643564356436,0.476633663366337,0.29,"251.165879134327",0.908849985360936
"event.times2244","+high",120,0.04,0.28,0.68,0.022970297029703,0.283762376237624,0.693267326732673,0.49,"137.081540987575",1.32366524826921
"event.times2245","+low",120,0.4,0.08,0.52,0.416831683168317,0.075049504950495,0.508118811881188,0.11,"293.717528417231",0.548890732309724
"event.times2246","full",120,0.16,0.07,0.77,0.196039603960396,0.0366336633663366,0.767326732673267,0.18,"238.799986975606",1.22757585063894
"event.times2247","low.var",120,0.34,0.17,0.49,0.361584158415842,0.153366336633663,0.485049504950495,0.26,"106.155233171358",1.17444899542271
"event.times2248","+high",120,0,0.43,0.57,0,0.389009900990099,0.610990099009901,0.52,"114.561428305819",1.5380001616958
"event.times2249","+low",120,0.69,0,0.31,0.608019801980198,0,0.391980198019802,0.01,"0",1.02089793148158
"event.times2250","full",120,0.67,0,0.33,0.727623762376238,0,0.272376237623762,0.01,"0",0.866841636033862
"event.times2251","low.var",120,0.37,0.08,0.55,0.386831683168317,0.102277227722772,0.510891089108911,0.23,"217.541727738159",0.78485774875625
"event.times2252","+high",120,0,0.19,0.81,0,0.199306930693069,0.800693069306931,0.46,"127.06348987074",1.13229894121384
"event.times2253","+low",120,0.5,0,0.5,0.465742574257426,0,0.534257425742574,0.02,"0.0586505760568342",0.385371370350706
"event.times2254","full",120,0.69,0,0.31,0.695940594059406,0,0.304059405940594,0.02,"0.80814509695923",0.651825078049922
"event.times2255","low.var",120,0.55,0.08,0.37,0.535148514851485,0.0762376237623762,0.388613861386139,0.21,"141.306816730504",0.937357407182771
"event.times2256","+high",120,0,0.23,0.77,0.00851485148514852,0.268019801980198,0.723465346534653,0.51,"98.9478025004356",1.59922215903404
"event.times2257","+low",120,0.41,0,0.59,0.418712871287129,0,0.581287128712871,0.05,"100.818882854051",1.08518653838209
"event.times2258","full",120,0.29,0.07,0.64,0.325544554455446,0.105544554455446,0.568910891089109,0.2,"154.469230637523",1.02573189563374
"event.times2259","low.var",120,0.19,0.15,0.66,0.204158415841584,0.124158415841584,0.671683168316832,0.32,"115.059333393972",1.18811181142355
"event.times2260","+high",120,0,0.19,0.81,0,0.246039603960396,0.753960396039604,0.48,"162.100100535025",1.7148555041017
"event.times2261","+low",120,0.68,0,0.32,0.65029702970297,0,0.34970297029703,0.01,"0",0.249048822111357
"event.times2262","full",120,0.74,0,0.26,0.774059405940594,0,0.225940594059406,0.01,"0",0.601928361776799
"event.times2263","low.var",120,0.85,0,0.15,0.82980198019802,0,0.17019801980198,0.01,"0",1.0400806156629
"event.times2264","+high",120,0,0.32,0.68,0,0.33029702970297,0.66970297029703,0.49,"118.921509638851",1.75135536923354
"event.times2265","+low",120,0.38,0.03,0.59,0.416039603960396,0.0272277227722772,0.556732673267327,0.07,"293.31292290291",0.849695532530293
"event.times2266","full",120,0.72,0,0.28,0.746534653465347,0,0.253465346534653,0.01,"0",0.541953483805107
"event.times2267","low.var",120,0.32,0.08,0.6,0.321485148514851,0.168316831683168,0.51019801980198,0.25,"198.001506480529",1.14902050268857
"event.times2268","+high",120,0,0,1,0,0.101584158415842,0.898415841584158,0.48,"67.5494683834789",1.48432892289396
"event.times2269","+low",120,0.33,0,0.67,0.382970297029703,0.0233663366336634,0.593663366336634,0.06,"233.788985877454",0.691359412039223
"event.times2270","full",120,0.26,0.12,0.62,0.234158415841584,0.0928712871287129,0.672970297029703,0.21,"177.928554523641",0.762967185406562
"event.times2271","low.var",120,0.3,0.13,0.57,0.286930693069307,0.184257425742574,0.528811881188119,0.24,"243.712380152544",0.946174829919619
